host,issue,example_url,canonical,indexnow_status,recommended_action
kalkremont.ru,"redirect→www.kalkremont.ru; sitemap→www.kalkremont.ru; indexnow-422","https://www.kalkremont.ru/","",422,EXCLUDE (notify www.kalkremont.ru)
krd.dizayn-interyera-online.ru,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422","https://dizayn-interyera-online.ru/","https://dizayn-interyera-online.ru/",422,EXCLUDE (notify dizayn-interyera-online.ru)
krd.dveri-stalnye24.ru,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422","https://dveri-stalnye24.ru/","https://dveri-stalnye24.ru/",422,EXCLUDE (notify dveri-stalnye24.ru)
krd.kamin-zakaz24.ru,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422","https://kamin-zakaz24.ru/","https://kamin-zakaz24.ru/",422,EXCLUDE (notify kamin-zakaz24.ru)
krd.kupeshkafy24.ru,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422","https://kupeshkafy24.ru/","https://kupeshkafy24.ru/",422,EXCLUDE (notify kupeshkafy24.ru)
krd.natyazhnoi-master24.ru,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422","https://natyazhnoi-master24.ru/","https://natyazhnoi-master24.ru/",422,EXCLUDE (notify natyazhnoi-master24.ru)
krd.okna-pvh-online.ru,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422","https://okna-pvh-online.ru/","https://okna-pvh-online.ru/",422,EXCLUDE (notify okna-pvh-online.ru)
krd.perevodkvartiry.ru,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422","https://perevodkvartiry.ru/","https://perevodkvartiry.ru/",422,EXCLUDE (notify perevodkvartiry.ru)
kuhni-zakaz-online.ru,"canonical→moskva.kuhni-zakaz-online.ru; sitemap→moskva.kuhni-zakaz-online.ru; indexnow-422","https://moskva.kuhni-zakaz-online.ru/","https://moskva.kuhni-zakaz-online.ru/",422,EXCLUDE (notify moskva.kuhni-zakaz-online.ru)
kzn.dizayn-interyera-online.ru,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422","https://dizayn-interyera-online.ru/","https://dizayn-interyera-online.ru/",422,EXCLUDE (notify dizayn-interyera-online.ru)
kzn.dveri-stalnye24.ru,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422","https://dveri-stalnye24.ru/","https://dveri-stalnye24.ru/",422,EXCLUDE (notify dveri-stalnye24.ru)
kzn.kamin-zakaz24.ru,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422","https://kamin-zakaz24.ru/","https://kamin-zakaz24.ru/",422,EXCLUDE (notify kamin-zakaz24.ru)
kzn.kupeshkafy24.ru,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422","https://kupeshkafy24.ru/","https://kupeshkafy24.ru/",422,EXCLUDE (notify kupeshkafy24.ru)
kzn.natyazhnoi-master24.ru,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422","https://natyazhnoi-master24.ru/","https://natyazhnoi-master24.ru/",422,EXCLUDE (notify natyazhnoi-master24.ru)
kzn.okna-pvh-online.ru,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422","https://okna-pvh-online.ru/","https://okna-pvh-online.ru/",422,EXCLUDE (notify okna-pvh-online.ru)
kzn.perevodkvartiry.ru,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422","https://perevodkvartiry.ru/","https://perevodkvartiry.ru/",422,EXCLUDE (notify perevodkvartiry.ru)
moskva.dizayn-interyera-online.ru,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422","https://dizayn-interyera-online.ru/","https://dizayn-interyera-online.ru/",422,EXCLUDE (notify dizayn-interyera-online.ru)
moskva.dveri-stalnye24.ru,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422","https://dveri-stalnye24.ru/","https://dveri-stalnye24.ru/",422,EXCLUDE (notify dveri-stalnye24.ru)
moskva.kamin-zakaz24.ru,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422","https://kamin-zakaz24.ru/","https://kamin-zakaz24.ru/",422,EXCLUDE (notify kamin-zakaz24.ru)
moskva.kupeshkafy24.ru,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422","https://kupeshkafy24.ru/","https://kupeshkafy24.ru/",422,EXCLUDE (notify kupeshkafy24.ru)
moskva.natyazhnoi-master24.ru,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422","https://natyazhnoi-master24.ru/","https://natyazhnoi-master24.ru/",422,EXCLUDE (notify natyazhnoi-master24.ru)
moskva.okna-pvh-online.ru,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422","https://okna-pvh-online.ru/","https://okna-pvh-online.ru/",422,EXCLUDE (notify okna-pvh-online.ru)
moskva.perevodkvartiry.ru,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422","https://perevodkvartiry.ru/","https://perevodkvartiry.ru/",422,EXCLUDE (notify perevodkvartiry.ru)
nn.dizayn-interyera-online.ru,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422","https://dizayn-interyera-online.ru/","https://dizayn-interyera-online.ru/",422,EXCLUDE (notify dizayn-interyera-online.ru)
nn.dveri-stalnye24.ru,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422","https://dveri-stalnye24.ru/","https://dveri-stalnye24.ru/",422,EXCLUDE (notify dveri-stalnye24.ru)
nn.kamin-zakaz24.ru,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422","https://kamin-zakaz24.ru/","https://kamin-zakaz24.ru/",422,EXCLUDE (notify kamin-zakaz24.ru)
nn.kupeshkafy24.ru,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422","https://kupeshkafy24.ru/","https://kupeshkafy24.ru/",422,EXCLUDE (notify kupeshkafy24.ru)
