ts,host,action,urls,result
2026-05-30T19:42:40,www.kalkremont.ru,indexnow,80,"HTTP 202"
2026-05-30T19:42:41,www.kalkremont.ru,recrawl,0,"quota_exhausted_today (ok=0)"
