host,verdict,home_status,redirect_to,canonical,canonical_host,sitemap_locs,sitemap_host,indexnow_status,issues,recommended
kzn.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
kzn.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
kzn.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
kzn.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
kzn.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
kzn.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
kzn.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
moskva.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
moskva.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
moskva.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
moskva.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
moskva.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
moskva.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
moskva.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
nn.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
nn.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
nn.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
nn.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
nn.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
nn.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
nn.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
nsk.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
nsk.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
nsk.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
nsk.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
nsk.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
nsk.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
nsk.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
perm.dizayn-interyera-online.ru,BAD,200,"","https://dizayn-interyera-online.ru/",dizayn-interyera-online.ru,209,dizayn-interyera-online.ru,422,"canonical→dizayn-interyera-online.ru; sitemap→dizayn-interyera-online.ru; indexnow-422",EXCLUDE (notify dizayn-interyera-online.ru)
perm.dveri-stalnye24.ru,BAD,200,"","https://dveri-stalnye24.ru/",dveri-stalnye24.ru,209,dveri-stalnye24.ru,422,"canonical→dveri-stalnye24.ru; sitemap→dveri-stalnye24.ru; indexnow-422",EXCLUDE (notify dveri-stalnye24.ru)
perm.kamin-zakaz24.ru,BAD,200,"","https://kamin-zakaz24.ru/",kamin-zakaz24.ru,250,kamin-zakaz24.ru,422,"canonical→kamin-zakaz24.ru; sitemap→kamin-zakaz24.ru; indexnow-422",EXCLUDE (notify kamin-zakaz24.ru)
perm.kupeshkafy24.ru,BAD,200,"","https://kupeshkafy24.ru/",kupeshkafy24.ru,209,kupeshkafy24.ru,422,"canonical→kupeshkafy24.ru; sitemap→kupeshkafy24.ru; indexnow-422",EXCLUDE (notify kupeshkafy24.ru)
perm.natyazhnoi-master24.ru,BAD,200,"","https://natyazhnoi-master24.ru/",natyazhnoi-master24.ru,250,natyazhnoi-master24.ru,422,"canonical→natyazhnoi-master24.ru; sitemap→natyazhnoi-master24.ru; indexnow-422",EXCLUDE (notify natyazhnoi-master24.ru)
perm.okna-pvh-online.ru,BAD,200,"","https://okna-pvh-online.ru/",okna-pvh-online.ru,250,okna-pvh-online.ru,422,"canonical→okna-pvh-online.ru; sitemap→okna-pvh-online.ru; indexnow-422",EXCLUDE (notify okna-pvh-online.ru)
perm.perevodkvartiry.ru,BAD,200,"","https://perevodkvartiry.ru/",perevodkvartiry.ru,209,perevodkvartiry.ru,422,"canonical→perevodkvartiry.ru; sitemap→perevodkvartiry.ru; indexnow-422",EXCLUDE (notify perevodkvartiry.ru)
