ts,host,action,urls,result
2026-05-30T14:24:05,www.kalkremont.ru,indexnow,300,"HTTP 200"
2026-05-30T14:24:05,www.kalkremont.ru,recrawl,0,"quota_exhausted_today (ok=0)"
