domain,host,is_valid_host,sitemap_url_count,loaded_by_robot,in_search_yandex,excluded_yandex,fatal_problems,index_ratio,indexnow_eligible,recrawl_eligible,wm_status
kuhni-zakaz-online.ru,chel.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,ekb.dom-stroy-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,ekb.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,ekb.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,krd.dom-stroy-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,krd.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,krd.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,kzn.dom-stroy-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,kzn.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,kzn.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,moskva.dom-stroy-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,moskva.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,moskva.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,nn.dom-stroy-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,nn.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,nn.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,nsk.dom-stroy-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,nsk.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,nsk.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,perm.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,perm.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,rnd.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,rnd.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,sam.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
kuhni-zakaz-online.ru,sam.kuhni-zakaz-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
dom-stroy-online.ru,spb.dom-stroy-online.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
ipoteka-remont.ru,spb.ipoteka-remont.ru,true,5,0,0,0,0,0.00,true,false,"http:404"
