ts,host,action,urls,result
2026-05-30T19:40:01,www.kalkremont.ru,indexnow,300,"HTTP 202"
2026-05-30T19:40:01,www.kalkremont.ru,recrawl,0,"quota_exhausted_today (ok=0)"
