host,page_type,total_urls,indexable_urls,submitted_indexnow_24h,submitted_recrawl_24h,yandex_indexed_count,google_indexed_count,impressions_yandex,clicks_yandex,ctr_yandex,impressions_google,clicks_google,ctr_google,metrika_visits,leads,conversion_rate,estimated_value
demontazh.kalkremont.ru,ALL,451,451,451,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
dizayn-interyera-online.ru,home,1,1,,,,,,,,,,,1,0,0,0
dizayn-interyera-online.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
dizayn-interyera-online.ru,city-leaf,204,204,,,,,,,,,,,0,0,0,0
dizayn-interyera-online.ru,content,1,1,,,,,,,,,,,0,0,0,0
dizayn-interyera-online.ru,ALL,209,209,209,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
dizayn.kalkremont.ru,home,1,1,,,,,,,,,,,1,0,0,0
dizayn.kalkremont.ru,service-hub,10,10,,,,,,,,,,,0,0,0,0
dizayn.kalkremont.ru,city-leaf,604,604,,,,,,,,,,,0,0,0,0
dizayn.kalkremont.ru,ALL,615,615,615,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
dom-stroy-online.ru,ALL(excluded),5,0,5,0,0,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
dveri-stalnye24.ru,home,1,1,,,,,,,,,,,1,0,0,0
dveri-stalnye24.ru,service-hub,3,3,,,,,,,,,,,0,0,0,0
dveri-stalnye24.ru,city-leaf,204,204,,,,,,,,,,,0,0,0,0
dveri-stalnye24.ru,content,1,1,,,,,,,,,,,0,0,0,0
dveri-stalnye24.ru,ALL,209,209,209,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,1,0,0,0
dveri.kalkremont.ru,home,1,1,,,,,,,,,,,2,0,0,0
dveri.kalkremont.ru,service-hub,6,6,,,,,,,,,,,0,0,0,0
dveri.kalkremont.ru,city-leaf,444,444,,,,,,,,,,,0,0,0,0
dveri.kalkremont.ru,ALL,451,451,451,0,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
ekb.dizayn-interyera-online.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,2,0,0,0
ekb.dom-stroy-online.ru,home,1,1,,,,,,,,,,,0,0,0,0
ekb.dom-stroy-online.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
ekb.dom-stroy-online.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
ekb.dveri-stalnye24.ru,ALL(excluded),209,0,209,0,0,n/a,0,0,0,n/a,n/a,n/a,3,0,0,0
ekb.ipoteka-remont.ru,home,1,1,,,,,,,,,,,0,0,0,0
ekb.ipoteka-remont.ru,city-leaf,4,4,,,,,,,,,,,0,0,0,0
ekb.ipoteka-remont.ru,ALL,5,5,5,5,HOST_NOT_LOADED,n/a,0,0,0,n/a,n/a,n/a,0,0,0,0
ekb.kalkremont.ru,home,1,1,,,,,,,,,,,1,0,0,0
ekb.kalkremont.ru,service-hub,7,7,,,,,,,,,,,0,0,0,0
ekb.kalkremont.ru,city-leaf,56,56,,,,,,,,,,,0,0,0,0
ekb.kalkremont.ru,deep-leaf,140,140,,,,,,,,,,,0,0,0,0
