domain,host,project,is_valid_host,is_bad_host,reason_if_bad,sitemap_url,sitemap_url_count,indexable_url_count,canonical_mode,robots_status,yandex_webmaster_status,google_search_console_status,indexnow_eligible,recrawl_eligible,metrika_counter,lead_forms_present,monetization_slots_present,priority_score
kalkremont.ru,nsk.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · nsk",true,false,"",https://nsk.kalkremont.ru/sitemap.xml,205,205,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,134
kalkremont.ru,spb.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · spb",true,false,"",https://spb.kalkremont.ru/sitemap.xml,437,437,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,131
kalkremont.ru,chel.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · chel",true,false,"",https://chel.kalkremont.ru/sitemap.xml,176,176,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,128
kalkremont.ru,sam.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · sam",true,false,"",https://sam.kalkremont.ru/sitemap.xml,176,176,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,128
kalkremont.ru,vrn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · vrn",true,false,"",https://vrn.kalkremont.ru/sitemap.xml,176,176,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,127
kalkremont.ru,krd.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · krd",true,false,"",https://krd.kalkremont.ru/sitemap.xml,176,176,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,126
kalkremont.ru,price.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · price",true,false,"",https://price.kalkremont.ru/sitemap.xml,155,155,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,122
kalkremont.ru,brn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · brn",true,false,"",https://brn.kalkremont.ru/sitemap.xml,147,147,"self","200 +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,116
kalkremont.ru,tyumen.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · tyumen",true,false,"",https://tyumen.kalkremont.ru/sitemap.xml,147,147,"self","200 +sitemap","verified:3problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,115
kamin-zakaz24.ru,kamin-zakaz24.ru,"kamin (камины/печи)",true,false,"",https://kamin-zakaz24.ru/sitemap.xml,250,250,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,109456830,yes,no,95
natyazhnoi-master24.ru,natyazhnoi-master24.ru,"natyazhnoi-master24.ru",true,false,"",https://natyazhnoi-master24.ru/sitemap.xml,250,250,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,109456824,yes,no,95
okna-pvh-online.ru,okna-pvh-online.ru,"okna-pvh-online.ru",true,false,"",https://okna-pvh-online.ru/sitemap.xml,250,250,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,109456825,yes,no,95
dizayn-interyera-online.ru,dizayn-interyera-online.ru,"dizayn (дизайн интерьера)",true,false,"",https://dizayn-interyera-online.ru/sitemap.xml,209,209,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,109456829,yes,no,87
dveri-stalnye24.ru,dveri-stalnye24.ru,"dveri (стальные двери)",true,false,"",https://dveri-stalnye24.ru/sitemap.xml,209,209,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,109456827,yes,no,87
kupeshkafy24.ru,kupeshkafy24.ru,"shkafy (шкафы-купе)",true,false,"",https://kupeshkafy24.ru/sitemap.xml,209,209,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,109456826,yes,no,87
perevodkvartiry.ru,perevodkvartiry.ru,"perevodkvartiry.ru",true,false,"",https://perevodkvartiry.ru/sitemap.xml,209,209,"self","200 +sitemap","http:404","n/a (нет GSC API-creds)",true,false,109456828,yes,no,87
kalkremont.ru,yar.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · yar",true,false,"",https://yar.kalkremont.ru/sitemap.xml,31,31,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,57
kalkremont.ru,izh.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · izh",true,false,"",https://izh.kalkremont.ru/sitemap.xml,26,26,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,52
kalkremont.ru,kem.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kem",true,false,"",https://kem.kalkremont.ru/sitemap.xml,26,26,"self","200 DISALLOW-ALL! +sitemap","verified:4problems","n/a (нет GSC API-creds)",true,true,present(id?),no,no,52
