domain,host,project,is_valid_host,sitemap_url_count,in_search_yandex,index_gap,lead_forms_present,monetization_slots_present,metrika_counter,indexnow_eligible,recrawl_eligible,priority_score,next_action
okna-pvh-online.ru,okna-pvh-online.ru,"okna-pvh-online.ru",true,250,0,250,yes,no,109456825,true,false,95,"PUSH indexation (IndexNow+recrawl+internal links)"
dizayn-interyera-online.ru,dizayn-interyera-online.ru,"dizayn (дизайн интерьера)",true,209,0,209,yes,no,109456829,true,false,87,"PUSH indexation (IndexNow+recrawl+internal links)"
dveri-stalnye24.ru,dveri-stalnye24.ru,"dveri (стальные двери)",true,209,0,209,yes,no,109456827,true,false,87,"PUSH indexation (IndexNow+recrawl+internal links)"
kupeshkafy24.ru,kupeshkafy24.ru,"shkafy (шкафы-купе)",true,209,0,209,yes,no,109456826,true,false,87,"PUSH indexation (IndexNow+recrawl+internal links)"
perevodkvartiry.ru,perevodkvartiry.ru,"perevodkvartiry.ru",true,209,0,209,yes,no,109456828,true,false,87,"PUSH indexation (IndexNow+recrawl+internal links)"
kalkremont.ru,yar.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · yar",true,31,0,31,no,no,present(id?),true,true,57,"ADD lead CTA/form"
kalkremont.ru,izh.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · izh",true,26,0,26,no,no,present(id?),true,true,52,"ADD lead CTA/form"
kalkremont.ru,kem.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kem",true,26,0,26,no,no,present(id?),true,true,52,"ADD lead CTA/form"
kalkremont.ru,khv.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · khv",true,26,0,26,no,no,present(id?),true,true,52,"ADD lead CTA/form"
kalkremont.ru,sar.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · sar",true,26,0,26,no,no,present(id?),true,true,52,"ADD lead CTA/form"
kalkremont.ru,tul.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · tul",true,26,0,26,no,no,present(id?),true,true,52,"ADD lead CTA/form"
kalkremont.ru,astr.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · astr",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,irk.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · irk",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,kir.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kir",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,kld.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · kld",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,lpk.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · lpk",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,oren.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · oren",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,pnz.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · pnz",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,rzn.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · rzn",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,vvo.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · vvo",true,21,0,21,no,no,present(id?),true,true,47,"ADD lead CTA/form"
kalkremont.ru,cbx.kalkremont.ru,"kalkremont (калькуляторы ремонта — флагман) · cbx",true,16,0,16,no,no,present(id?),true,true,41,"ADD lead CTA/form"
